Event,Runs,,,,,
Didcot parkrun,61,6,6,00:20:59,All,Graph It!
Abingdon parkrun,12,20,20,00:20:50,All,Graph It!
Medina I.O.W. parkrun,11,19,19,00:20:34,All,Graph It!
Markeaton parkrun,5,38,40,00:22:23,All,Graph It!
Long Eaton parkrun,2,42,46,00:22:04,All,Graph It!
Bushy parkrun,1,161,169,00:22:19,All,
Harcourt Hill parkrun,1,17,19,00:21:46,All,
Alice Holt parkrun,1,119,153,00:28:39,All,
Southwick Country parkrun,1,32,34,00:22:26,All,
Gloucester North parkrun,1,5,5,00:21:35,All,
Shipley Country parkrun,1,19,19,00:22:32,All,
Hampstead Heath parkrun,1,53,58,00:24:05,All,
Amager Fælled parkrun,1,26,28,00:22:58,All,
Sale Water parkrun,1,72,79,00:23:43,All,
Rushmoor parkrun,1,69,74,00:23:15,All,
Aylesbury parkrun,1,20,20,00:21:43,All,
Gadebridge parkrun,1,6,7,00:23:35,All,
Newbury parkrun,1,51,59,00:23:18,All,
Brueton parkrun,1,74,76,00:23:00,All,
St Albans parkrun,1,84,94,00:23:17,All,
Coventry parkrun,1,63,64,00:22:37,All,
Basingstoke parkrun,1,101,109,00:23:57,All,
Maidenhead parkrun,1,23,27,00:21:55,All,
Fulham Palace parkrun,1,74,81,00:21:15,All,
South Bank parkrun,1,61,71,00:23:53,All,
Hanley parkrun,1,31,33,00:22:33,All,
"Conkers parkrun, N.W.Leicestershire",1,68,72,00:23:04,All,
Henley-on-Thames parkrun,1,13,16,00:23:46,All,
Gunnersbury parkrun,1,155,185,00:26:25,All,
Rosliston parkrun,1,20,21,00:21:33,All,
Heartwood Forest parkrun,1,67,95,00:29:14,All,
Edinburgh parkrun,1,58,68,00:21:25,All,
